fluid reward multiplier,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,
0 run #,1 left reward,2 right reward,3 stim left image,4 stim left sound,5 stim right image,6 stim right sound,7 itd (sec),8 decision (sec),9 stim  (sec),10 points (sec),5-Nov,4-Dec,13 -2,14 -1,15 0,16 1,17 2,18 3,19 4,20 startPoint,21 Left is aversive,Condition,Abs(Cond)
1,2,0,images/NI/2352_2_BloodyKiss.gif,sounds/IADSNA/277_FemScream3.mp3,images/PI/2352_1_Kiss.gif,sounds/Freesound/FemaleLaughter1.mp3,3,4,6,2,L,L,L,L,R,R,R,R,R,4,1,-2,2
2,0,6,images/NI/3010_mutilation.gif,sounds/Freesound/KnifeSharpen.mp3,images/PI/2010_Adult.gif,sounds/Freesound/manlaugh.mp3,11,4,6,2,L,L,L,R,R,L,R,R,R,4,0,6,6
3,0,2,images/PI/2515_Harvest.gif,sounds/IADSPA/810_Beethoven.mp3,images/PI/2515_Harvest.gif,sounds/IADSPA/810_Beethoven.mp3,7,4,6,2,L,L,L,R,L,L,R,R,R,4,3,1,1
4,0,4,images/NI/3120_DeadBody.gif,sounds/Freesound/KnifeSharpen.mp3,images/PI/4533_AttractiveMan.gif,sounds/IADSPA/815_RocknRoll.mp3,8,4,6,2,L,R,R,L,L,R,L,L,R,4,0,4,4
5,0,0,images/NI/9420_Soldier.gif,sounds/IADSNA/706_War.mp3,images/PI/8080_Sailing.gif,sounds/SimplyTheBest/oceanwaves.mp3,5,4,6,2,L,L,L,R,L,L,R,R,R,4,1,-7,7
6,0,2,images/NI/3060_Mutilation.gif,sounds/Freesound/allinpain.mp3,images/PI/2020_Adult.gif,sounds/Freesound/Manlaughing_hard.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,4,0,2,2
7,4,0,images/NI/9520_Kids.gif,sounds/IADSNA/712_Buzzer.mp3,images/PI/2216_Children.gif,sounds/IADSPA/112_KidsinPark.mp3,2,4,6,2,L,L,R,R,R,L,L,R,R,0,1,-4,4
8,2,0,images/PI/8420_Tubing.gif,sounds/SimplyTheBest/river.mp3,images/PI/8420_Tubing.gif,sounds/SimplyTheBest/river.mp3,4,4,6,2,R,L,L,L,L,R,R,R,L,4,3,-1,1
9,0,0,images/NI/3061_Mutilation.gif,sounds/IADSNA/276_FemScream2.mp3,images/PI/2030_Woman.gif,sounds/Freesound/FemaleLaughter1.mp3,9,4,6,2,L,R,L,R,R,L,R,L,R,4,0,7,7
10,6,0,images/NI/9433_DeadMan.gif,sounds/Freesound/Fall_Screaming.mp3,images/PI/8461_HappyTeens.gif,sounds/IADSPA/226_Laughing.mp3,10,4,6,2,L,L,L,L,R,R,R,R,R,4,1,-6,6
11,2,0,images/PI/7620_Jet.gif,sounds/IADSPA/400_Jet.mp3,images/PI/7620_Jet.gif,sounds/IADSPA/400_Jet.mp3,5,4,6,2,L,R,R,R,R,L,L,L,R,0,3,-1,1
12,4,0,images/NI/2800_SadChild.gif,sounds/Freesound/three_chords.mp3,images/PI/2240_NeutChild.gif,sounds/IADSPA/225_ClapGame.mp3,6,4,6,2,L,L,L,R,R,L,R,R,R,4,1,-4,4
13,0,0,images/NI/3080_Mutilation.gif,sounds/IADSNA/287_CardiacArrest.mp3,images/PI/2485_Man.gif,sounds/IADSPA/811_Bach.mp3,3,4,6,2,L,L,R,L,L,R,L,R,R,0,0,7,7
14,0,6,images/NI/9910_AutoAccident.gif,sounds/IADSNA/424_Carwreck.mp3,images/PI/2389_Teens.gif,sounds/IADSPA/815_RocknRoll.mp3,10,4,6,2,L,R,L,R,L,L,R,L,R,0,0,6,6
15,4,0,images/NI/3064_Mutilation.gif,sounds/IADSNA/276_FemScream2.mp3,images/PI/2560_Picnic.gif,sounds/IADSPA/230_Giggling.mp3,8,4,6,2,L,L,L,L,L,R,R,R,R,-4,1,-4,4
16,0,2,images/PI/2791_Balloons.gif,sounds/Freesound/Organ2.mp3,images/PI/2791_Balloons.gif,sounds/Freesound/Organ2.mp3,4,4,6,2,L,L,L,L,R,R,R,R,R,0,3,1,1
17,0,2,images/NI/9050_PlaneCrash.gif,sounds/IADSNA/501_PlaneCrash.mp3,images/PI/8340_Plane.gif,sounds/Freesound/Propeller.mp3,7,4,6,2,R,R,L,R,L,L,R,L,L,-4,0,2,2
18,6,0,images/NI/9410_Soldier.gif,sounds/Freesound/panic&pain.mp3,images/PI/2150_Baby.gif,sounds/IADSPA/111_MusicBox.mp3,2,4,6,2,R,R,R,R,L,L,L,L,L,4,1,-6,6
19,2,0,images/NI/6560_Attack.gif,sounds/IADSNA/279_Attack1.mp3,images/PI/4603_Romance.gif,sounds/IADSPA/230_Giggling.mp3,9,4,6,2,L,L,R,R,L,L,L,R,R,-4,1,-2,2
20,0,0,images/NI/9421_Soldier.gif,sounds/AudioMicro/ManCrying.mp3,images/PI/2501_Couple.gif,sounds/Freesound/Gullsbythesea.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,0,1,-7,7
21,0,2,images/PI/1540_Cat.gif,sounds/Freesound/catpurring.mp3,images/PI/1540_Cat.gif,sounds/Freesound/catpurring.mp3,10,4,6,2,L,R,L,L,R,R,R,L,R,-4,3,1,1
22,0,6,images/NI/9921_Fire.gif,sounds/Freesound/Hellfire.mp3,images/PI/2208_Bride.gif,sounds/IADSPA/820_FunkMusic.mp3,8,4,6,2,L,L,R,L,L,R,L,R,R,-4,0,6,6
23,0,2,images/NI/9252_DeadBody.gif,sounds/IADSNA/292_MaleScream.mp3,images/PI/7496_Street.gif,sounds/Freesound/Tibetstreet.mp3,11,4,6,2,L,L,R,L,L,R,L,R,R,0,0,2,2
24,0,2,images/PI/2510_ElderlyWoman.gif,sounds/Freesound/foxtrot.mp3,images/PI/2510_ElderlyWoman.gif,sounds/Freesound/foxtrot.mp3,6,4,6,2,L,L,R,R,L,L,L,R,R,0,3,1,1
25,6,0,images/NI/2205_Hospital.gif,sounds/IADSNA/287_CardiacArrest.mp3,images/PI/1340_Women.gif,sounds/IADSPA/226_Laughing.mp3,7,4,6,2,L,L,L,R,L,L,R,R,R,0,1,-6,6
26,0,4,images/NI/6350_Attack.gif,sounds/IADSNA/285_Attack2.mp3,images/PI/4700_Couple.gif,sounds/Freesound/mansighs.mp3,3,4,6,2,L,L,L,R,R,L,R,R,R,-4,0,4,4
27,2,0,images/NI/9400_Soldier.gif,sounds/IADSNA/706_War.mp3,images/PI/2340_Family.gif,sounds/Freesound/Manlaughing_hard.mp3,9,4,6,2,R,L,L,L,L,R,R,R,L,0,1,-2,2
28,0,0,images/NI/3150_Mutilation.gif,sounds/Freesound/panic&pain.mp3,images/PI/7503_carddealer.gif,sounds/IADSPA/361_Restaurant.mp3,5,4,6,2,L,L,L,L,L,R,R,R,R,-4,0,7,7
29,6,0,images/NI/3530_Attack.gif,sounds/IADSNA/286_Victim.mp3,images/PI/2370_ThreeMen.gif,sounds/IADSPA/221_MaleLaugh.mp3,4,4,6,2,L,L,R,L,R,R,L,R,R,0,1,-6,6
30,2,0,images/PI/2580_Chess.gif,sounds/Freesound/mansighs.mp3,images/PI/2580_Chess.gif,sounds/Freesound/mansighs.mp3,2,4,6,2,L,L,L,L,L,R,R,R,R,-4,3,-1,1
31,0,4,images/NI/3350_Infant.gif,sounds/Freesound/babycry.mp3,images/PI/2058_Baby.gif,sounds/IADSPA/111_MusicBox.mp3,7,4,6,2,R,L,R,R,L,L,L,R,L,0,0,4,4
32,0,6,images/NI/3110_BurnVictim.gif,sounds/IADSNA/277_FemScream3.mp3,images/PI/8040_Diver.gif,sounds/IADSPA/351_Applause.mp3,1,4,6,2,R,L,R,L,R,R,L,R,L,4,0,6,6
33,0,0,images/NI/3130_Mutilation.gif,sounds/Freesound/mandying.mp3,images/PI/8130_PoleVaulter.gif,sounds/IADSPA/352_SportsCrowd.mp3,2,4,6,2,L,R,R,L,R,R,L,L,R,-4,1,-7,7
34,0,2,images/NI/9265_HungMan.gif,sounds/Freesound/mandying.mp3,images/PI/8050_Rower.gif,sounds/Freesound/rower.mp3,5,4,6,2,L,L,L,R,R,L,R,R,R,0,0,2,2
35,0,0,images/NI/3181_BatteredFem.gif,sounds/IADSNA/290_Fight.mp3,images/PI/2383_Secretary.gif,sounds/IADSPA/705_RotaryDial.mp3,9,4,6,2,L,R,L,L,L,R,R,L,R,0,0,7,7
36,2,0,images/PI/8465_Runner.gif,sounds/Freesound/heavybreathing,images/PI/8465_Runner.gif,sounds/Freesound/heavybreathing.mp3,8,4,6,2,L,L,R,R,R,L,L,R,R,0,3,-1,1
37,6,0,images/NI/3500_Attack.gif,sounds/IADSNA/286_Victim.mp3,images/PI/8497_CarnivalRide.gif,sounds/IADSPA/360_RollerCoaster.mp3,4,4,6,2,L,R,L,L,R,R,R,L,R,-4,1,-6,6
38,0,0,images/NI/3102_BurnVictim.gif,sounds/Freesound/Anguish.mp3,images/PI/8280_Diver.gif,sounds/PartnersinRhyme/Cheer.mp3,10,4,6,2,R,L,L,L,L,R,R,R,L,4,1,-7,7
39,0,2,images/NI/3062_Mutilation.gif,sounds/Freesound/Anguish.mp3,images/PI/2500_Man.gif,sounds/IADSPA/270_Whistling.mp3,3,4,6,2,L,L,R,L,R,R,L,R,R,4,0,2,2
40,0,4,images/NI/3301_InjuredChild.gif,sounds/AudioMicro/WomanCrying.mp3,images/PI/2250_NeutBaby.gif,sounds/Freesound/GirlLaugh.mp3,11,4,6,2,L,L,L,L,R,R,R,R,R,4,0,4,4
41,2,0,images/NI/6821_Gang.gif,sounds/IADSNA/292_MaleScream.mp3,images/PI/8380_Athletes.gif,sounds/IADSPA/351_Applause.mp3,10,4,6,2,L,R,L,L,R,R,R,L,R,4,1,-2,2
42,0,0,images/NI/2141_GrievingFem.gif,sounds/AudioMicro/WomanCrying.mp3,images/PI/2620_Woman.gif,sounds/IADSPA/816_Guitar.mp3,1,4,6,2,L,L,L,R,R,L,R,R,R,4,0,7,7
43,4,0,images/NI/9911_CarAccident.gif,sounds/IADSNA/424_CarWreck.mp3,images/PI/7140_Bus.gif,sounds/IADSPA/820_FunkMusic.mp3,7,4,6,2,L,L,L,L,L,R,R,R,R,0,1,-4,4
44,0,2,images/PI/2655_Child.gif,sounds/Freesound/4yroldchild_laugh.mp3,images/PI/2655_Child.gif,sounds/Freesound/4yroldchild_laugh.mp3,3,4,6,2,L,L,L,L,R,R,R,R,R,4,3,1,1
45,6,0,images/NI/3230_DyingMan.gif,sounds/Freesound/EKG.mp3,images/PI/2510_ElderlyWoman.gif,sounds/IADSPA/151_Cardinal.mp3,2,4,6,2,L,L,L,L,L,R,R,R,R,-4,1,-6,6
46,4,0,images/NI/2352_2_BloodyKiss.gif,sounds/IADSNA/277_FemScream3.mp3,images/PI/2352_1_Kiss.gif,sounds/Freesound/FemaleLaughter1.mp3,4,4,6,2,R,R,L,L,R,R,R,L,L,-4,1,-4,4
47,0,0,images/NI/3010_mutilation.gif,sounds/Freesound/KnifeSharpen.mp3,images/PI/2010_Adult.gif,sounds/Freesound/manlaugh.mp3,9,4,6,2,L,L,R,R,R,L,L,R,R,-4,1,-7,7
48,0,4,images/NI/3120_DeadBody.gif,sounds/Freesound/KnifeSharpen.mp3,images/PI/4533_AttractiveMan.gif,sounds/IADSPA/815_RocknRoll.mp3,8,4,6,2,L,R,L,L,L,R,R,L,R,-4,0,4,4
49,0,2,images/PI/5720_FarmLand.gif,sounds/SimplyTheBest/crickets.mp3,images/PI/5720_FarmLand.gif,sounds/SimplyTheBest/crickets.mp3,5,4,6,2,R,L,R,R,L,L,L,R,L,-4,3,1,1
50,0,2,images/NI/9420_Soldier.gif,sounds/IADSNA/706_War.mp3,images/PI/8080_Sailing.gif,sounds/SimplyTheBest/oceanwaves.mp3,6,4,6,2,L,L,L,L,L,R,R,R,R,-4,0,2,2
51,4,0,images/NI/3060_Mutilation.gif,sounds/Freesound/allinpain.mp3,images/PI/2020_Adult.gif,sounds/Freesound/Manlaughing_hard.mp3,5,4,6,2,L,L,R,R,L,L,L,R,R,4,1,-4,4
52,0,0,images/NI/9520_Kids.gif,sounds/IADSNA/712_Buzzer.mp3,images/PI/2216_Children.gif,sounds/IADSPA/112_KidsinPark.mp3,7,4,6,2,R,L,R,L,R,R,L,R,L,-4,0,7,7
53,2,0,images/NI/3061_Mutilation.gif,sounds/IADSNA/276_FemScream2.mp3,images/PI/2030_Woman.gif,sounds/Freesound/FemaleLaughter1.mp3,3,4,6,2,L,R,R,R,R,L,L,L,R,-4,1,-2,2
54,0,6,images/NI/9433_DeadMan.gif,sounds/Freesound/Fall_Screaming.mp3,images/PI/8461_HappyTeens.gif,sounds/IADSPA/226_Laughing.mp3,8,4,6,2,L,L,L,L,L,R,R,R,R,0,0,6,6
55,2,0,images/PI/8510_SportCar.gif,sounds/Freesound/ferrari.mp3,images/PI/8510_SportCar.gif,sounds/Freesound/ferrari.mp3,4,4,6,2,L,L,L,L,R,R,R,R,R,4,3,-1,1
56,0,0,images/NI/2800_SadChild.gif,sounds/Freesound/three_chords.mp3,images/PI/2240_NeutChild.gif,sounds/IADSPA/225_ClapGame.mp3,9,4,6,2,L,L,L,R,L,L,R,R,R,0,1,-7,7
57,2,0,images/PI/2487_Musician.gif,sounds/Freesound/nylon2.mp3,images/PI/2487_Musician.gif,sounds/Freesound/nylon2.mp3,6,4,6,2,L,R,L,L,L,R,R,L,R,-4,3,-1,1
58,0,4,images/NI/3080_Mutilation.gif,sounds/IADSNA/287_CardiacArrest.mp3,images/PI/2485_Man.gif,sounds/IADSPA/811_Bach.mp3,10,4,6,2,L,L,L,L,R,R,R,R,R,0,0,4,4
59,0,6,images/NI/9910_AutoAccident.gif,sounds/IADSNA/424_Carwreck.mp3,images/PI/2389_Teens.gif,sounds/IADSPA/815_RocknRoll.mp3,11,4,6,2,L,L,L,R,R,L,R,R,R,-4,0,6,6
60,2,0,images/NI/3064_Mutilation.gif,sounds/IADSNA/276_FemScream2.mp3,images/PI/2560_Picnic.gif,sounds/IADSPA/230_Giggling.mp3,2,4,6,2,L,L,L,R,L,L,R,R,R,0,1,-2,2
