Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\data/AAC-RAYUS-Admin_RTK-run_1-2014_Sep_05_1127.csv,Time:,2014_Sep_05_1127,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\T1000_AAC_Schedule1.csv,Post-question file:,T1000_AAC_PostQuestions.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('FIXATION_ONSET', 3), ('DECISION_ONSET', 4), ('SELECTOR_MOVEMENT', 5), ('FINAL_LOCATION', 6), ('OUTCOME_SIDE', 7), ('NEGATIVE_OUTCOME_SHOWN', 8), ('POSITIVE_OUTCOME_SHOWN', 9), ('POINTS_AWARDED', 10), ('TOTAL_POINTS', 11), ('VAS_RATING', 12), ('POST_RATING', 13)], For ratings the trial number is negative and used to identify the question being rated.  VAS ratings are in the order pleasant-unpleasant-intense and are from 0 (not at all) to 100 (very much) 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00497918762267,NA,NA,NA
NA,NA,2,1.95784991514,1.96282910276,NA,NA
0,10204,3,1.98086896923,NA,NA,NA
0,10204,4,4.96926935029,NA,NA,NA
0,10204,6,6.50196287897,1.53269352869,1,4.0
0,10204,6,8.96290703653,NA,NA,4.0
0,10204,7,8.97630763846,-1,NA,1
0,10204,9,8.97630763846,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2383_Secretary.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/705_RotaryDial.aiff
0,10204,10,14.9866237328,NA,NA,0.0
0,10204,11,14.9866237328,NA,NA,0.0
1,01064,3,16.9728371041,NA,NA,NA
1,01064,4,27.9741699512,NA,NA,NA
1,01064,5,28.726802645,0.752632693853,-1,3.0
1,01064,5,28.9338925936,0.959722642438,-1,2.0
1,01064,5,29.1506659973,1.17649604613,-1,1.0
1,01064,5,29.3418840885,1.3677141373,-1,0.0
1,01064,5,29.5338978964,1.55972794525,-1,-1.0
1,01064,5,29.7186467609,1.74447680975,-1,-2.0
1,01064,5,29.9018654885,1.92769553734,-1,-3.0
1,01064,5,30.1018544266,2.12768447539,-1,-4.0
1,01064,6,30.3179316137,2.34376166249,1,-4.0
1,01064,6,31.9628993388,NA,NA,-4.0
1,01064,7,31.9810212132,NA,NA,-1
1,01064,9,31.9810212132,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2352_1_Kiss.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/FemaleLaughter1.aiff
1,01064,10,37.9743036636,NA,NA,0.0
1,01064,11,37.9743036636,NA,NA,0.0
2,00024,3,39.9773217427,NA,NA,NA
2,00024,4,46.9723843636,NA,NA,NA
2,00024,5,48.1737990918,1.20141472819,-1,3.0
2,00024,5,48.4297664694,1.45738210576,1,4.0
2,00024,6,48.621787405,1.64940304135,1,4.0
2,00024,6,50.9629041855,NA,NA,4.0
2,00024,7,50.979510463,-1,NA,1
2,00024,9,50.979510463,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2515_Harvest.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/810_Beethoven.aiff
2,00024,10,56.9893971953,NA,NA,2.0
2,00024,11,56.9893971953,NA,NA,2.0
3,01044,3,58.9756045794,NA,NA,NA
3,01044,4,66.9721981927,NA,NA,NA
3,01044,5,68.3426686864,1.37047049368,-1,3.0
3,01044,5,68.4856522512,1.51345405844,-1,2.0
3,01044,5,68.6295991722,1.65740097943,-1,1.0
3,01044,5,68.7657380323,1.79353983956,-1,0.0
3,01044,5,68.9098032702,1.93760507752,-1,-1.0
3,01044,5,69.05380265,2.08160445723,-1,-2.0
3,01044,5,69.1816339522,2.20943575946,-1,-3.0
3,01044,5,69.3335887899,2.36139059719,-1,-4.0
3,01044,6,69.4939332946,2.52173510182,1,-4.0
3,01044,6,70.9637187191,NA,NA,-4.0
3,01044,7,70.9794260731,NA,NA,-1
3,01044,9,70.9794260731,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2010_Adult.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/manlaugh.aiff
3,01044,10,76.9895984766,NA,NA,0.0
3,01044,11,76.9895984766,NA,NA,2.0
4,10004,3,78.9754625991,NA,NA,NA
4,10004,4,83.9669862615,NA,NA,NA
4,10004,6,86.0294655738,2.0624793123,1,4.0
4,10004,6,87.9629050408,NA,NA,4.0
4,10004,7,87.973977508,-1,NA,1
4,10004,9,87.973977508,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2058_Baby.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/111_MusicBox.aiff
4,10004,10,93.9850964468,NA,NA,0.0
4,10004,11,93.9850964468,NA,NA,2.0
5,01024,3,95.9702022007,NA,NA,NA
5,01024,4,96.9719484443,NA,NA,NA
5,01024,5,98.4543247839,1.48237633961,-1,3.0
5,01024,5,98.6537332563,1.68178481201,-1,2.0
5,01024,5,98.8295045757,1.85755613144,-1,1.0
5,01024,5,99.0214100453,2.04946160107,-1,0.0
5,01024,5,99.2054444468,2.2334960025,-1,-1.0
5,01024,5,99.3894255343,2.41747709003,-1,-2.0
5,01024,5,99.5814476102,2.6094991659,-1,-3.0
5,01024,5,99.7813926428,2.8094441985,-1,-4.0
5,01024,6,100.005466057,3.03351761308,1,-4.0
5,01024,6,100.962911028,NA,NA,-4.0
5,01024,7,100.979425503,NA,NA,-1
5,01024,9,100.979425503,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8497_CarnivalRide.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/360_RollerCoaster.aiff
5,01024,10,106.989439675,NA,NA,0.0
5,01024,11,106.989439675,NA,NA,2.0
6,10400,3,108.975338865,NA,NA,NA
6,10400,4,110.978607548,NA,NA,NA
6,10400,5,112.317687852,1.33908030414,1,1.0
6,10400,5,112.501298879,1.52269133052,1,2.0
6,10400,5,112.68674453,1.70813698194,1,3.0
6,10400,5,112.853373516,1.87476596772,1,4.0
6,10400,6,113.373299937,2.39469238883,1,4.0
6,10400,6,114.962898198,NA,NA,4.0
6,10400,7,114.970323369,-1,NA,1
6,10400,9,114.970323369,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2340_Family.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/Manlaughing_hard.aiff
6,10400,10,120.980477526,NA,NA,0.0
6,10400,11,120.980477526,NA,NA,2.0
7,00204,3,122.965867525,NA,NA,NA
7,00204,4,126.971832408,NA,NA,NA
7,00204,5,127.629203737,0.657371328911,-1,3.0
7,00204,5,127.765235969,0.793403561227,-1,2.0
7,00204,5,127.909212256,0.937379847746,-1,1.0
7,00204,5,128.05323758,1.08140517154,-1,0.0
7,00204,5,128.197225555,1.22539314709,-1,-1.0
7,00204,5,128.333251516,1.3614191073,-1,-2.0
7,00204,5,128.485234578,1.51340216992,-1,-3.0
7,00204,5,128.621297316,1.64946490817,-1,-4.0
7,00204,6,128.933383403,1.96155099501,1,-4.0
7,00204,6,130.96290333,NA,NA,-4.0
7,00204,7,130.978819948,NA,NA,-1
7,00204,9,130.978819948,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/7620_Jet.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/400_Jet.aiff
7,00204,10,136.989025138,NA,NA,2.0
7,00204,11,136.989025138,NA,NA,4.0
8,01004,3,138.975137299,NA,NA,NA
8,01004,4,147.973450071,NA,NA,NA
8,01004,5,148.852992336,0.879542264738,-1,3.0
8,01004,5,149.029144835,1.05569476401,-1,2.0
8,01004,5,149.189158338,1.21570826648,-1,1.0
8,01004,5,149.357176621,1.38372654945,-1,0.0
8,01004,5,149.525024983,1.55157491216,-1,-1.0
8,01004,5,149.693146473,1.71969640173,-1,-2.0
8,01004,5,149.861003104,1.88755303237,-1,-3.0
8,01004,5,150.04506516,2.07161508861,-1,-4.0
8,01004,6,150.580950964,2.60750089306,1,-4.0
8,01004,6,151.962899054,NA,NA,-4.0
8,01004,7,151.980455003,NA,NA,-1
8,01004,9,151.980455003,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/4533_AttractiveMan.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/815_RocknRoll.aiff
8,01004,10,157.973793618,NA,NA,0.0
8,01004,11,157.973793618,NA,NA,4.0
9,10604,3,159.976604144,NA,NA,NA
9,10604,4,169.976674278,NA,NA,NA
9,10604,6,171.388955118,1.41228083929,1,4.0
9,10604,6,173.962898198,NA,NA,4.0
9,10604,7,173.966948913,-1,NA,1
9,10604,9,173.966948913,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2250_NeutBaby.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/GirlLaugh.aiff
9,10604,10,179.977509624,NA,NA,0.0
9,10604,11,179.977509624,NA,NA,4.0
10,00200,3,181.979897915,NA,NA,NA
10,00200,4,186.971590072,NA,NA,NA
10,00200,5,187.588843415,0.617253342643,-1,-1.0
10,00200,5,187.788854021,0.817263948498,-1,-2.0
10,00200,5,187.949643283,0.978053210652,-1,-3.0
10,00200,5,188.124979538,1.15338946588,-1,-4.0
10,00200,6,188.332793358,1.36120328575,1,-4.0
10,00200,6,190.962898483,NA,NA,-4.0
10,00200,7,190.978967916,NA,NA,-1
10,00200,9,190.978967916,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8400_Rafters.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/waterfall.aiff
10,00200,10,196.988871754,NA,NA,2.0
10,00200,11,196.988871754,NA,NA,6.0
11,10404,3,198.97485904,NA,NA,NA
11,10404,4,204.968008634,NA,NA,NA
11,10404,6,205.740714718,0.772706084535,1,4.0
11,10404,6,208.962914734,NA,NA,4.0
11,10404,7,208.978039057,-1,NA,1
11,10404,9,208.978039057,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8380_Athletes.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/351_Applause.aiff
11,10404,10,214.985165726,NA,NA,0.0
11,10404,11,214.985165726,NA,NA,6.0
12,01000,3,216.971271044,NA,NA,NA
12,01000,4,219.97642396,NA,NA,NA
12,01000,5,220.780589513,0.804165553534,-1,-1.0
12,01000,5,220.956730894,0.980306933983,-1,-2.0
12,01000,5,221.132678976,1.15625501599,-1,-3.0
12,01000,5,221.308525847,1.33210188709,-1,-4.0
12,01000,6,221.532570751,1.55614679155,1,-4.0
12,01000,6,223.962914734,NA,NA,-4.0
12,01000,7,223.966527819,NA,NA,-1
12,01000,9,223.966527819,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2030_Woman.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/FemaleLaughter1.aiff
12,01000,10,229.976569931,NA,NA,0.0
12,01000,11,229.976569931,NA,NA,6.0
13,01060,3,231.9795863,NA,NA,NA
13,01060,4,241.979504761,NA,NA,NA
13,01060,5,242.628549145,0.649044384249,-1,-1.0
13,01060,5,242.812507995,0.833003234002,-1,-2.0
13,01060,5,242.988511386,1.00900662551,-1,-3.0
13,01060,5,243.156668514,1.17716375261,-1,-4.0
13,01060,6,243.356733574,1.37722881266,1,-4.0
13,01060,6,245.96290276,NA,NA,-4.0
13,01060,7,245.970435128,NA,NA,-1
13,01060,9,245.970435128,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8340_Plane.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/Propeller.aiff
13,01060,10,251.979675251,NA,NA,0.0
13,01060,11,251.979675251,NA,NA,6.0
14,1040-4,3,253.966013212,NA,NA,NA
14,1040-4,4,261.979302339,NA,NA,NA
14,1040-4,5,262.636354925,0.657052586088,1,-3.0
14,1040-4,5,262.805290093,0.825987753808,1,-2.0
14,1040-4,5,262.964787848,0.985485508456,1,-1.0
14,1040-4,5,263.140428876,1.16112653667,1,0.0
14,1040-4,5,263.340609402,1.36130706267,1,1.0
14,1040-4,5,263.500375437,1.52107309736,1,2.0
14,1040-4,5,263.692370143,1.71306780365,1,3.0
14,1040-4,6,263.908346119,1.92904377985,1,3.0
14,1040-4,6,265.962897913,NA,NA,3.0
14,1040-4,7,265.969698427,-1,NA,1
14,1040-4,9,265.969698427,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2620_Woman.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/816_Guitar.aiff
14,1040-4,10,271.980086937,NA,NA,0.0
14,1040-4,11,271.980086937,NA,NA,6.0
15,00020,3,273.965878359,NA,NA,NA
15,00020,4,277.97260104,NA,NA,NA
15,00020,5,278.94053174,0.967930699931,1,1.0
15,00020,5,279.084496623,1.11189558229,1,2.0
15,00020,5,279.252272,1.27967095922,1,3.0
15,00020,5,279.4042046,1.43160355906,1,4.0
15,00020,6,279.540205756,1.56760471535,1,4.0
15,00020,6,281.962906181,NA,NA,4.0
15,00020,7,281.979668694,-1,NA,1
15,00020,9,281.979668694,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2791_Balloons.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/Organ2.aiff
15,00020,10,287.989782082,NA,NA,2.0
15,00020,11,287.989782082,NA,NA,8.0
16,0102-4,3,289.975900229,NA,NA,NA
16,0102-4,4,296.970885018,NA,NA,NA
16,0102-4,6,297.812107428,0.84122241044,1,-4.0
16,0102-4,6,300.962906751,NA,NA,-4.0
16,0102-4,7,300.97820413,NA,NA,-1
16,0102-4,9,300.97820413,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2150_Baby.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/111_MusicBox.aiff
16,0102-4,10,306.989546303,NA,NA,0.0
16,0102-4,11,306.989546303,NA,NA,8.0
17,10604,3,308.974238375,NA,NA,NA
17,10604,4,310.977487671,NA,NA,NA
17,10604,6,311.69202403,0.714536358835,1,4.0
17,10604,6,314.962900479,NA,NA,4.0
17,10604,7,314.969906266,NA,NA,-1
17,10604,8,314.969906266,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/NI/9911_CarAccident.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSNA/424_CarWreck.aiff
17,10604,10,320.977887383,NA,NA,6.0
17,10604,11,320.977887383,NA,NA,14.0
18,1020-4,3,322.98074495,NA,NA,NA
18,1020-4,4,331.979008115,NA,NA,NA
18,1020-4,5,332.652164631,0.673156515695,1,-3.0
18,1020-4,5,332.828076505,0.84906838974,1,-2.0
18,1020-4,5,333.004002919,1.02499480406,1,-1.0
18,1020-4,5,333.179879441,1.20087132568,1,0.0
18,1020-4,5,333.355985469,1.37697735359,1,1.0
18,1020-4,5,333.523884294,1.54487617931,1,2.0
18,1020-4,5,333.715881566,1.73687345139,1,3.0
18,1020-4,5,333.891909477,1.91290136171,1,4.0
18,1020-4,6,334.09287175,2.11386363453,1,4.0
18,1020-4,6,335.962904186,NA,NA,4.0
18,1020-4,7,335.969765711,-1,NA,1
18,1020-4,9,335.969765711,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8080_Sailing.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/SimplyTheBest/oceanwaves.aiff
18,1020-4,10,341.979360785,NA,NA,0.0
18,1020-4,11,341.979360785,NA,NA,14.0
19,10000,3,343.965557905,NA,NA,NA
19,10000,4,344.967318404,NA,NA,NA
19,10000,5,345.843714579,0.876396175241,1,1.0
19,10000,5,346.019683189,1.05236478453,1,2.0
19,10000,5,346.203742964,1.23642455984,1,3.0
19,10000,5,346.379687625,1.41236922063,1,4.0
19,10000,6,346.579654325,1.6123359208,1,4.0
19,10000,6,348.962904756,NA,NA,4.0
19,10000,7,348.975650481,-1,NA,1
19,10000,9,348.975650481,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8461_HappyTeens.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/226_Laughing.aiff
19,10000,10,354.990418427,NA,NA,0.0
19,10000,11,354.990418427,NA,NA,14.0
20,0002-4,3,356.972286859,NA,NA,NA
20,0002-4,4,366.970528356,NA,NA,NA
20,0002-4,5,367.73167103,0.76114267332,1,-3.0
20,0002-4,5,367.907701506,0.937173149548,1,-2.0
20,0002-4,5,368.075651365,1.10512300825,1,-1.0
20,0002-4,5,368.219930998,1.24940264213,1,0.0
20,0002-4,5,368.371702516,1.40117415995,1,1.0
20,0002-4,5,368.515677377,1.54514902085,1,2.0
20,0002-4,5,368.667637062,1.6971087053,1,3.0
20,0002-4,5,368.803654469,1.83312611235,1,4.0
20,0002-4,6,368.883637556,1.91310920019,1,4.0
20,0002-4,6,370.962898769,NA,NA,4.0
20,0002-4,7,370.977460017,-1,NA,1
20,0002-4,9,370.977460017,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/1540_Cat.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/catpurring.aiff
20,0002-4,10,376.987808898,NA,NA,2.0
20,0002-4,11,376.987808898,NA,NA,16.0
21,0106-4,3,378.973986916,NA,NA,NA
21,0106-4,4,386.970333632,NA,NA,NA
21,0106-4,6,388.003587812,1.03325417975,1,-4.0
21,0106-4,6,390.962898769,NA,NA,-4.0
21,0106-4,7,390.977925302,NA,NA,-1
21,0106-4,9,390.977925302,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2216_Children.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/112_KidsinPark.aiff
21,0106-4,10,396.987426007,NA,NA,0.0
21,0106-4,11,396.987426007,NA,NA,16.0
22,01020,3,398.973576941,NA,NA,NA
22,01020,4,409.975207719,NA,NA,NA
22,01020,5,411.075461202,1.10025348328,-1,-1.0
22,01020,5,411.204339965,1.22913224669,-1,-2.0
22,01020,5,411.347512837,1.3723051186,-1,-3.0
22,01020,5,411.483456973,1.50824925466,-1,-4.0
22,01020,6,411.667463435,1.69225571619,1,-4.0
22,01020,6,413.962899339,NA,NA,-4.0
22,01020,7,413.98225513,-1,NA,1
22,01020,8,413.98225513,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/NI/3530_Attack.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSNA/286_Victim.aiff
22,01020,10,419.975398737,NA,NA,2.0
22,01020,11,419.975398737,NA,NA,18.0
23,00020,3,421.978476972,NA,NA,NA
23,00020,4,427.97175144,NA,NA,NA
23,00020,5,428.651256869,0.67950542958,1,1.0
23,00020,5,428.819200741,0.84744930116,1,2.0
23,00020,5,428.971337473,0.999586033402,1,3.0
23,00020,5,429.107276477,1.13552503765,1,4.0
23,00020,6,429.251209713,1.2794582739,1,4.0
23,00020,6,431.96291559,NA,NA,4.0
23,00020,7,431.978786021,-1,NA,1
23,00020,9,431.978786021,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2510_ElderlyWoman.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/foxtrot.aiff
23,00020,10,437.989006322,NA,NA,2.0
23,00020,11,437.989006322,NA,NA,20.0
24,10600,3,439.975044641,NA,NA,NA
24,10600,4,446.969977541,NA,NA,NA
24,10600,5,448.139095459,1.16911791742,1,1.0
24,10600,5,448.323100495,1.35312295344,1,2.0
24,10600,5,448.547122591,1.57714504993,1,3.0
24,10600,5,448.739095915,1.76911837363,1,4.0
24,10600,6,448.987206764,2.01722922316,1,4.0
24,10600,6,450.963060706,NA,NA,4.0
24,10600,7,450.97800456,-1,NA,1
24,10600,9,450.97800456,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2389_Teens.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/815_RocknRoll.aiff
24,10600,10,456.987225296,NA,NA,0.0
24,10600,11,456.987225296,NA,NA,20.0
25,0104-4,3,458.974502949,NA,NA,NA
25,0104-4,4,461.978393437,NA,NA,NA
25,0104-4,6,463.123436572,1.14504313434,1,-4.0
25,0104-4,6,465.96290333,NA,NA,-4.0
25,0104-4,7,465.969223449,-1,NA,1
25,0104-4,8,465.969223449,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/NI/3064_Mutilation.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSNA/276_FemScream2.aiff
25,0104-4,10,471.979322011,NA,NA,4.0
25,0104-4,11,471.979322011,NA,NA,24.0
26,10200,3,473.98157773,NA,NA,NA
26,10200,4,482.979887652,NA,NA,NA
26,10200,5,483.915146063,0.93525841122,1,1.0
26,10200,5,484.090844681,1.11095702986,1,2.0
26,10200,5,484.299073323,1.31918567175,1,3.0
26,10200,5,484.595081425,1.61519377318,1,4.0
26,10200,6,484.874854735,1.8949670837,1,4.0
26,10200,6,486.962897913,NA,NA,4.0
26,10200,7,486.970740756,-1,NA,1
26,10200,9,486.970740756,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2510_ElderlyWoman.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/151_Cardinal.aiff
26,10200,10,492.980308176,NA,NA,0.0
26,10200,11,492.980308176,NA,NA,24.0
27,0100-4,3,494.983126399,NA,NA,NA
27,0100-4,4,499.974756119,NA,NA,NA
27,0100-4,6,501.218993301,1.24423718243,1,-4.0
27,0100-4,6,503.962897913,NA,NA,-4.0
27,0100-4,7,503.981743944,NA,NA,-1
27,0100-4,9,503.981743944,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2020_Adult.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/Manlaughing_hard.aiff
27,0100-4,10,509.975447489,NA,NA,0.0
27,0100-4,11,509.975447489,NA,NA,24.0
28,10600,3,511.977979471,NA,NA,NA
28,10600,4,515.968917536,NA,NA,NA
28,10600,5,516.794628456,0.825710920733,1,1.0
28,10600,5,516.971639395,1.00272185914,1,2.0
28,10600,5,517.170736252,1.20181871625,1,3.0
28,10600,5,517.394774599,1.4258570635,1,4.0
28,10600,6,517.54662509,1.57770755421,1,4.0
28,10600,6,519.962905611,NA,NA,4.0
28,10600,7,519.975074006,-1,NA,1
28,10600,9,519.975074006,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8130_PoleVaulter.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/352_SportsCrowd.aiff
28,10600,10,525.985120395,NA,NA,0.0
28,10600,11,525.985120395,NA,NA,24.0
29,0020-4,3,527.971225998,NA,NA,NA
29,0020-4,4,529.974577646,NA,NA,NA
29,0020-4,6,531.010587897,1.03601025103,1,-4.0
29,0020-4,6,533.962908747,NA,NA,-4.0
29,0020-4,7,533.981654137,NA,NA,-1
29,0020-4,9,533.981654137,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2580_Chess.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/mansighs.aiff
29,0020-4,10,539.991565958,NA,NA,2.0
29,0020-4,11,539.991565958,NA,NA,26.0
30,01040,3,541.977800997,NA,NA,NA
30,01040,4,548.972896975,NA,NA,NA
30,01040,5,549.866502702,0.893605726422,-1,-1.0
30,01040,5,550.034442867,1.0615458918,-1,-2.0
30,01040,5,550.194421872,1.22152489692,-1,-3.0
30,01040,5,550.347391384,1.37449440907,-1,-4.0
30,01040,6,550.523357428,1.55046045245,1,-4.0
30,01040,6,552.963098054,NA,NA,-4.0
30,01040,7,552.980037045,NA,NA,-1
